id,name,name_pt,description,hit_die,primary_ability,saving_throws,armor_proficiencies,weapon_proficiencies,tool_proficiencies,skills_available,skills_choose,equipment_options,spellcaster,spellcasting_ability,created_at,updated_at,starting_wealth
09266f0b-3ac9-497e-a342-da077cde31a3,Paladin,Paladino,Um guerreiro sagrado vinculado a um juramento sagrado.,10,Força e Carisma,"[""Sabedoria"",""Carisma""]","[""Todas as armaduras"",""Escudos""]","[""Armas simples"",""Armas marciais""]",,"[""Atletismo"",""Intuição"",""Intimidação"",""Medicina"",""Persuasão"",""Religião""]",2,"[""(a) Uma arma marcial e um escudo ou (b) duas armas marciais"",""(a) Cinco azagaias ou (b) qualquer arma simples corpo a corpo"",""(a) Um pacote de sacerdote ou (b) um pacote de explorador"",""Cota de malha e um símbolo sagrado""]",true,Carisma,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,5d4
0e53aaa0-e463-4b8a-bd92-682b23377134,Warlock,Bruxo,Um detentor de magia derivada de um pacto com uma entidade extraplanar.,8,Carisma,"[""Sabedoria"",""Carisma""]","[""Armaduras leves""]","[""Armas simples""]",,"[""Arcana"",""Enganação"",""História"",""Intimidação"",""Investigação"",""Natureza"",""Religião""]",2,"[""(a) Uma besta leve e 20 virotes ou (b) qualquer arma simples"",""(a) Uma bolsa de componentes ou (b) um foco arcano"",""(a) Um pacote de estudioso ou (b) um pacote de aventureiro"",""Armadura de couro, qualquer arma simples e duas adagas""]",true,Carisma,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,4d4
1cad4bdf-2a2c-491b-b161-b31f1273599b,Druid,Druida,"Um sacerdote da Fé Antiga, empunhando os poderes da natureza e adotando formas animais.",8,Sabedoria,"[""Inteligência"",""Sabedoria""]","[""Armaduras leves"",""Armaduras médias"",""Escudos (druidas não usarão armaduras ou escudos feitos de metal)""]","[""Clavas"",""Adagas"",""Dardos"",""Azagaias"",""Maças"",""Bordões"",""Cimitarras"",""Foices"",""Fundas"",""Lanças""]","[""Kit de herbalismo""]","[""Arcana"",""Lidar com Animais"",""Intuição"",""Medicina"",""Natureza"",""Percepção"",""Religião"",""Sobrevivência""]",2,"[""(a) Um escudo de madeira ou (b) qualquer arma simples"",""(a) Uma cimitarra ou (b) qualquer arma simples corpo a corpo"",""Armadura de couro, um pacote de explorador e um foco druídico""]",true,Sabedoria,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,2d4
24cc8278-384d-4d05-a21d-724e21d289a8,Bard,Bardo,"Um mestre inspirador da magia e da palavra, cujo poder ecoa a música da criação.",8,Carisma,"[""Destreza"",""Carisma""]","[""Armaduras leves""]","[""Armas simples"",""Bestas de mão"",""Espadas longas"",""Rapieiras"",""Espadas curtas""]","[""Três instrumentos musicais à sua escolha""]","[""Acrobacia"",""Lidar com Animais"",""Arcana"",""Atletismo"",""Enganação"",""História"",""Intuição"",""Intimidação"",""Investigação"",""Medicina"",""Natureza"",""Percepção"",""Atuação"",""Persuasão"",""Religião"",""Prestidigitação"",""Furtividade"",""Sobrevivência""]",3,"[""(a) Uma rapieira, (b) uma espada longa, ou (c) qualquer arma simples"",""(a) Um pacote de diplomata ou (b) um pacote de artista"",""(a) Um alaúde ou (b) qualquer outro instrumento musical"",""Armadura de couro e uma adaga""]",true,Carisma,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,5d4
4c8dccc9-d8db-4837-9930-4fd3dac5ef98,Ranger,Patrulheiro,Um guerreiro que usa proeza marcial e magia da natureza para combater ameaças nas margens da civilização.,10,Destreza e Sabedoria,"[""Força"",""Destreza""]","[""Armaduras leves"",""Armaduras médias"",""Escudos""]","[""Armas simples"",""Armas marciais""]",,"[""Lidar com Animais"",""Atletismo"",""Intuição"",""Investigação"",""Natureza"",""Percepção"",""Furtividade"",""Sobrevivência""]",3,"[""(a) Armadura de escamas ou (b) armadura de couro"",""(a) Duas espadas curtas ou (b) duas armas simples corpo a corpo"",""(a) Um pacote de aventureiro ou (b) um pacote de explorador"",""Um arco longo e uma aljava com 20 flechas""]",true,Sabedoria,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,5d4
60cac135-eb94-42e7-ada0-0b1d164a7db0,Wizard,Mago,Um usuário erudito de magia capaz de manipular as estruturas da realidade.,6,Inteligência,"[""Inteligência"",""Sabedoria""]",[],"[""Adagas"",""Dardos"",""Fundas"",""Bordões"",""Bestas leves""]",,"[""Arcana"",""História"",""Intuição"",""Investigação"",""Medicina"",""Religião""]",2,"[""(a) Um cajado ou (b) uma adaga"",""(a) Uma bolsa de componentes ou (b) um foco arcano"",""(a) Um pacote de estudioso ou (b) um pacote de explorador"",""Um grimório""]",true,Inteligência,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,4d4
6272e510-e800-419a-a3c2-ea2c239445b0,Monk,Monge,"Um mestre das artes marciais, usando o poder do corpo em busca da perfeição física e espiritual.",8,Destreza e Sabedoria,"[""Força"",""Destreza""]",[],"[""Armas simples"",""Espadas curtas""]","[""Escolha um tipo de ferramenta de artesão ou um instrumento musical""]","[""Acrobacia"",""Atletismo"",""História"",""Intuição"",""Religião"",""Furtividade""]",2,"[""(a) Uma espada curta ou (b) qualquer arma simples"",""(a) Um pacote de aventureiro ou (b) um pacote de explorador"",""10 dardos""]",false,,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,5d4
6d957812-5d2d-4354-b66e-66d460cc92f0,Rogue,Ladino,Um canalha que usa furtividade e truques para superar obstáculos e inimigos.,8,Destreza,"[""Destreza"",""Inteligência""]","[""Armaduras leves""]","[""Armas simples"",""Bestas de mão"",""Espadas longas"",""Rapieiras"",""Espadas curtas""]","[""Ferramentas de ladrão""]","[""Acrobacia"",""Atletismo"",""Enganação"",""Intuição"",""Intimidação"",""Investigação"",""Percepção"",""Atuação"",""Persuasão"",""Prestidigitação"",""Furtividade""]",4,"[""(a) Uma rapieira ou (b) uma espada curta"",""(a) Um arco curto e uma aljava com 20 flechas ou (b) uma espada curta"",""(a) Um pacote de assaltante, (b) um pacote de aventureiro, ou (c) um pacote de explorador"",""Armadura de couro, duas adagas e ferramentas de ladrão""]",false,,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,4d4
a70ec0e7-e245-4240-837a-9a37d974469c,Cleric,Clérigo,Um campeão divino que empunha magia a serviço de um poder superior.,8,Sabedoria,"[""Sabedoria"",""Carisma""]","[""Armaduras leves"",""Armaduras médias"",""Escudos""]","[""Armas simples""]",,"[""História"",""Intuição"",""Medicina"",""Persuasão"",""Religião""]",2,"[""(a) Uma maça ou (b) um martelo de guerra (se for proficiente)"",""(a) Armadura de escamas, (b) armadura de couro, ou (c) cota de malha (se for proficiente)"",""(a) Uma besta leve e 20 virotes ou (b) qualquer arma simples"",""(a) Um pacote de sacerdote ou (b) um pacote de explorador"",""Um escudo e um símbolo sagrado""]",true,Sabedoria,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,5d4
b2370bc6-5164-412a-aebe-0911cc882b6e,Barbarian,Bárbaro,Um feroz guerreiro de origem primitiva que pode entrar em fúria de batalha.,12,Força,"[""Força"",""Constituição""]","[""Armaduras leves"",""Armaduras médias"",""Escudos""]","[""Armas simples"",""Armas marciais""]",,"[""Lidar com Animais"",""Atletismo"",""Intimidação"",""Natureza"",""Percepção"",""Sobrevivência""]",2,"[""(a) Um machado grande ou (b) qualquer arma marcial corpo a corpo"",""(a) Duas machadinhas ou (b) qualquer arma simples"",""Um pacote de explorador e quatro azagaias""]",false,,2025-11-04 19:34:54.668892+00,2025-11-06 19:07:16.324216+00,2d4
